date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:36	15688/15688	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2008:34:52%20GMT	https://digiporto.webflow.io/project/innovatetech-identity-rollout	E:/Template/Portfolio%20Animated/digiporto.webflow.io/project/innovatetech-identity-rollout.html	(from https://digiporto.webflow.io/)
16:38:36	96312/96312	---M--	200	added ('OK')	image/jpeg	etag:%2276a5c7632a1de4809bb1a57272df688a%22	https://cdn.prod.website-files.com/6717a0f7f2f90b50be3dabb3/6718569a85e736e6a50bc68b_5740358.jpg	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6717a0f7f2f90b50be3dabb3/6718569a85e736e6a50bc68b_5740358.jpg	(from https://digiporto.webflow.io/)
16:38:36	8925/8925	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2008:23:29%20GMT	https://digiporto.webflow.io/template-info/license	E:/Template/Portfolio%20Animated/digiporto.webflow.io/template-info/license.html	(from https://digiporto.webflow.io/)
16:38:37	5909/5909	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2008:23:14%20GMT	https://digiporto.webflow.io/template-info/style-guide	E:/Template/Portfolio%20Animated/digiporto.webflow.io/template-info/style-guide.html	(from https://digiporto.webflow.io/)
16:38:37	5850/5850	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2008:23:25%20GMT	https://digiporto.webflow.io/template-info/change-log	E:/Template/Portfolio%20Animated/digiporto.webflow.io/template-info/change-log.html	(from https://digiporto.webflow.io/)
16:38:37	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6713703e3467616e3789da0c	E:/Template/Portfolio%20Animated/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c89117.js	(from https://digiporto.webflow.io/)
16:38:38	290755/290755	---M-Z	200	added ('OK')	text/javascript	etag:%227bb000aff2fee01fc4e6d3a498fc31b6%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/js/webflow.789e3c869.js	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/js/webflow.789e3c869.js	(from https://digiporto.webflow.io/)
16:38:39	139312/139312	---M--	200	added ('OK')	image/jpeg	etag:%225762109c7a8af0550dca28b83c516778%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/Sukanth.jpg	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/Sukanth.jpg	(from https://cdn.prod.website-files.com/6713703e3467616e3789da0c/css/digiporto.webflow.cd137104e.css)
16:38:40	147020/147020	---M--	200	added ('OK')	image/jpeg	etag:%229eed5c7700c2fd5b952dc29f896f8b6c%22	https://cdn.prod.website-files.com/6713703e3467616e3789da0c/6720934d550b8df208a3c7f7_nubelson-fernandes-6rrIT4YcqoI-unsplash.jpg	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6713703e3467616e3789da0c/6720934d550b8df208a3c7f7_nubelson-fernandes-6rrIT4YcqoI-unsplash.jpg	(from https://cdn.prod.website-files.com/6713703e3467616e3789da0c/css/digiporto.webflow.cd137104e.css)
16:38:40	62643/62643	---M--	200	added ('OK')	image/jpeg	etag:%22f1525df37953236a48e5744e22c01dca%22	https://cdn.prod.website-files.com/6717a0f7f2f90b50be3dabb3/671fb8d206cae46a1e2844de_v922-kul-18b.jpg	E:/Template/Portfolio%20Animated/cdn.prod.website-files.com/6717a0f7f2f90b50be3dabb3/671fb8d206cae46a1e2844de_v922-kul-18b.jpg	(from https://digiporto.webflow.io/project/shopease-redesign-sprint)
